Name,SMILES,CAS Number,Type,MolWt,ExactMolWt,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,MolVolume
"2,4-Dimethyl-2-Pentene",CC(C)C=C(C)C,625-65-0,biofuel,98.189,98.10955045,2.6086,0,0,1,0,34.269
"2,4-Dimethyl-3-ethylpentane",CCC(C(C)C)C(C)C,1068-87-7,biofuel,128.259,128.1565006,3.3246,0,0,3,0,43.457
"1,1-Dimethylcyclohexane",CC1(C)CCCCC1,590-66-9,biofuel,112.216,112.1252005,2.9767,0,0,0,0,36.866
"1,1-Dimethylcyclopentane",CC1(CCCC1)C,1638-26-2,biofuel,98.189,98.10955045,2.5866,0,0,0,0,32.249
Cyclopentane,CC1CC(C(C1)(C)C)C,287-92-3,biofuel,126.243,126.1408506,3.0786,0,0,0,0,41.343
"1,3-Dimethylcyclopentane",CC1CCC(C1)C,2453-00-1,biofuel,98.189,98.10955045,2.4425,0,0,0,0,32.179
2-Methylpiperidine,CC1CCCCN1,109-05-7,biofuel,99.177,99.10479942,1.1484,1,1,0,12.03,31.3157
2-Methylpyridine,CC1=CC=CC=N1,109-06-8,biofuel,93.129,93.05784922,1.39002,0,1,0,12.89,28.974
3-Methylpyridine,CC1=CN=CC=C1,108-99-6,biofuel,93.129,93.05784922,1.39002,0,1,0,12.89,28.974
4-Methylpyridine,CC1=CC=NC=C1,108-89-4,biofuel,93.129,93.05784922,1.39002,0,1,0,12.89,28.974
Aniline,C1=CC=C(C=C1)N,62-53-3,biofuel,93.129,93.05784922,1.2688,1,1,0,26.02,30.8544
N-methylaniline,CNC1=CC=CC=C1,100-61-8,biofuel,107.156,107.0734993,1.7283,1,1,1,12.03,35.9887
Indole,C1=CC=C2C(=C1)C=CN2,120-72-9,biofuel,117.151,117.0578492,2.1679,1,0,0,15.79,38.2987
Quinoline,C1=CC=C2C(=C1)C=CC=N2,91-22-5,biofuel,129.162,129.0578492,2.2348,0,1,0,12.89,41.743
Dibenzopyrrole,C1=CC=C2C(=C1)C3=CC=CC=C3N2,86-74-8,biofuel,167.211,167.0734993,3.3211,1,0,0,15.79,55.8047
Phenol,C1=CC=C(C=C1)O,108-95-2,biofuel,94.113,94.04186481,1.3922,1,1,0,20.23,28.1068
Anisole,COC1=CC=CC=C1,100-66-3,biofuel,108.14,108.0575149,1.6952,0,1,1,9.23,32.994
