Name,SMILES,CAS,Type,MolWt,ExactMolWt,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,MolVolume
"2,3,3-Trimethyl-1-Pentene",CCC(C)(C)C(=C)C,560-23-6,biofuel,112.21599999999998,112.12520051199999,2.9987000000000013,0.0,0.0,2.0,0.0,38.886
"2,3,3-Trimethylpentane",CCC(C)(C)C(C)C,560-21-4,biofuel,114.23199999999997,114.14085057599999,3.0786000000000016,0.0,0.0,2.0,0.0,38.91
"2,3,4-Trimethyl-2-Pentene",CC(C)C(=C(C)C)C,565-77-5,biofuel,112.21599999999998,112.12520051199999,2.9987000000000013,0.0,0.0,1.0,0.0,38.886
"2,3,4-Trimethylpentane",CC(C)C(C)C(C)C,565-75-3,biofuel,114.23199999999999,114.14085057599999,2.9345000000000017,0.0,0.0,2.0,0.0,38.839999999999996
"2,4-Dimethyl-1-Pentene",CC(C)CC(=C)C,2213-32-3,biofuel,98.189,98.109550448,2.608600000000001,0.0,0.0,2.0,0.0,34.26899999999999
"2,4-Dimethyl-2-Pentene",CC(C)C=C(C)C,625-65-0,biofuel,98.189,98.109550448,2.608600000000001,0.0,0.0,1.0,0.0,34.26899999999999
"2,4-Dimethyl-3-ethylpentane",CCC(C(C)C)C(C)C,1068-87-7,biofuel,128.259,128.15650064,3.324600000000002,0.0,0.0,3.0,0.0,43.45700000000001
"1,1-Dimethylcyclohexane",CC1(C)CCCCC1,590-66-9,biofuel,112.21600000000001,112.12520051199999,2.976700000000002,0.0,0.0,0.0,0.0,36.86599999999999
"1,1-Dimethylcyclopentane",CC1(CCCC1)C,1638-26-2,biofuel,98.18900000000001,98.109550448,2.5866000000000007,0.0,0.0,0.0,0.0,32.24899999999998
Cyclopentane,CC1CC(C(C1)(C)C)C,287-92-3,biofuel,126.243,126.14085057599999,3.0786000000000016,0.0,0.0,0.0,0.0,41.343
"1,3-Dimethylcyclopentane",CC1CCC(C1)C,2453-00-1,biofuel,98.189,98.109550448,2.442500000000001,0.0,0.0,0.0,0.0,32.17899999999998
2-Methylpiperidine,CC1CCCCN1,109-05-7,biofuel,99.177,99.10479941599999,1.1484,1.0,1.0,0.0,12.03,31.315699999999985
2-Methylpyridine,CC1=CC=CC=N1,109-06-8,biofuel,93.129,93.057849224,1.39002,0.0,1.0,0.0,12.89,28.973999999999993
3-Methylpyridine,CC1=CN=CC=C1,108-99-6,biofuel,93.12899999999998,93.057849224,1.39002,0.0,1.0,0.0,12.89,28.973999999999993
4-Methylpyridine,CC1=CC=NC=C1,108-89-4,biofuel,93.12899999999999,93.057849224,1.39002,0.0,1.0,0.0,12.89,28.973999999999993
Aniline,C1=CC=C(C=C1)N,62-53-3,biofuel,93.12899999999999,93.057849224,1.2687999999999997,1.0,1.0,0.0,26.02,30.854400000000002
N-methylaniline,CNC1=CC=CC=C1,100-61-8,biofuel,107.15599999999998,107.073499288,1.7283,1.0,1.0,1.0,12.03,35.98870000000001
Indole,C1=CC=C2C(=C1)C=CN2,120-72-9,biofuel,117.15099999999997,117.057849224,2.1678999999999995,1.0,0.0,0.0,15.79,38.29870000000002
Quinoline,C1=CC=C2C(=C1)C=CC=N2,91-22-5,biofuel,129.16199999999995,129.057849224,2.2348,0.0,1.0,0.0,12.89,41.743000000000016
Dibenzopyrrole,C1=CC=C2C(=C1)C3=CC=CC=C3N2,86-74-8,biofuel,167.21099999999998,167.073499288,3.3211000000000013,1.0,0.0,0.0,15.79,55.804700000000025
Phenol,C1=CC=C(C=C1)O,108-95-2,biofuel,94.11299999999997,94.041864812,1.3921999999999997,1.0,1.0,0.0,20.23,28.106799999999993
Anisole,COC1=CC=CC=C1,100-66-3,biofuel,108.13999999999997,108.057514876,1.6952,0.0,1.0,1.0,9.23,32.99399999999999
Benzyl alcohol,C1=CC=C(C=C1)CO,100-51-6,biofuel,108.13999999999997,108.057514876,1.1788999999999998,1.0,1.0,1.0,20.23,32.364799999999995
O-Cresol,CC1=CC=CC=C1O,95-48-7,biofuel,108.13999999999999,108.057514876,1.70062,1.0,1.0,0.0,20.23,32.843799999999995
M-Cresol,CC1=CC(=CC=C1)O,108-39-4,biofuel,108.13999999999997,108.057514876,1.7006199999999996,1.0,1.0,0.0,20.23,32.843799999999995
P-Cresol,CC1=CC=C(C=C1)O,106-44-5,biofuel,108.13999999999999,108.057514876,1.7006199999999996,1.0,1.0,0.0,20.23,32.843799999999995
Benzaldehyde,C1=CC=C(C=C1)C=O,100-52-7,biofuel,106.12399999999997,106.041864812,1.4990999999999999,0.0,1.0,1.0,17.07,31.829499999999996
Phenetole,CCOC1=CC=CC=C1,103-73-1,biofuel,122.16699999999996,122.07316494,2.0853,0.0,1.0,2.0,9.23,37.61100000000001
4-Methylanisole,CC1=CC=C(C=C1)OC,104-93-8,biofuel,122.16699999999999,122.07316494,2.0036199999999997,0.0,1.0,1.0,9.23,37.73100000000001
1-Phenylethanol,CC(C1=CC=CC=C1)O,98-85-1,biofuel,122.16699999999996,122.07316494,1.7399,1.0,1.0,1.0,20.23,37.0758
2-Phenylethanol ,C1=CC=C(C=C1)CCO,1960/12/8,biofuel,122.16699999999997,122.07316494,1.2213999999999998,1.0,1.0,2.0,20.23,37.23180000000001
"2,4-Xylenol",CC1=CC(=C(C=C1)O)C,105-67-9,biofuel,122.16699999999997,122.07316494,2.0090399999999997,1.0,1.0,0.0,20.23,37.5808
Cinnamaldehyde,C1=CC=C(C=C1)C=CC=O,104-55-2,biofuel,132.16199999999995,132.057514876,1.8987,0.0,1.0,2.0,17.07,41.54000000000002
4-Propylanisole,CCCC1=CC=C(C=C1)OC,104-45-0,biofuel,150.22099999999995,150.104465068,2.6477000000000004,0.0,1.0,3.0,9.23,46.98900000000003
Guaiacol,COC1=CC=CC=C1O,1990/5/1,biofuel,124.13899999999997,124.052429496,1.4008,1.0,2.0,1.0,29.46,34.6588
4-Methylguaiacol,CC1=CC(=C(C=C1)O)OC,93-51-6,biofuel,138.16599999999997,138.06807956,1.7092199999999997,1.0,2.0,1.0,29.46,39.39580000000001
4-Ethylguaiacol,CCC1=CC(=C(C=C1)O)OC,2785-89-9,biofuel,152.19299999999996,152.083729624,1.9631999999999996,1.0,2.0,2.0,29.46,44.03680000000003
Pentane,CCCCC,109-66-0,biofuel,72.151,72.093900384,2.1965000000000003,0.0,0.0,2.0,0.0,25.19899999999999
Methylamine,CN,74-89-5,biofuel,31.058,31.042199159999996,-0.4251,1.0,1.0,0.0,26.02,10.111400000000001
Ethylamine,CCN,1975/4/7,biofuel,45.084999999999994,45.057849223999995,-0.03499999999999981,1.0,1.0,0.0,26.02,14.728400000000002
2-Methylheptane,CCCCCC(C)C,592-27-8,biofuel,114.23199999999999,114.14085057599999,3.2227000000000023,0.0,0.0,4.0,0.0,38.98
3-Methylheptane,CCCCC(C)CC,589-81-1,biofuel,114.23199999999999,114.14085057599999,3.2227000000000023,0.0,0.0,4.0,0.0,38.98
4-Methylheptane,CCCC(C)CCC,589-53-7,biofuel,114.232,114.14085057599999,3.2227000000000023,0.0,0.0,4.0,0.0,38.98
3-Methyltetrahydrofuran,CC1CCOC1,13423-15-9,not biofuel,86.134,86.07316494,1.0428,0.0,1.0,0.0,9.23,24.59999999999999
"5-Methyl-2,3-dihydrofuran",CC1=CCCO1,1487-15-6,not biofuel,84.11800000000001,84.057514876,1.3105,0.0,1.0,0.0,9.23,24.32599999999999
2-Methyloxane,CC1CCCCO1,10141-72-7,not biofuel,100.161,100.088815004,1.5754000000000001,0.0,1.0,0.0,9.23,29.264999999999983
3-Methyloxane,CC1CCCOC1,26093-63-0,not biofuel,100.161,100.088815004,1.4329,0.0,1.0,0.0,9.23,29.216999999999985
4-Methyloxane,CC1CCOCC1,4717-96-8,not biofuel,100.161,100.088815004,1.4329,0.0,1.0,0.0,9.23,29.216999999999985
2-Ethyloxane,CCC1CCCCO1,3857-14-5,not biofuel,114.188,114.104465068,1.9655,0.0,1.0,1.0,9.23,33.88199999999999
3-Ethyloxane,CCC1CCCOC1,31468-34-5,not biofuel,114.188,114.104465068,1.823,0.0,1.0,1.0,9.23,33.83399999999999
4-Ethyloxane,CCC1CCOCC1,,not biofuel,114.188,114.104465068,1.823,0.0,1.0,1.0,9.23,33.83399999999999
