Name,SMILES,Type,CAS,MeltingPoint,BoilingPoint,LHV,FlashPoint,Density,OC,MolWt,LFL,UFL
"3,3-dimethyl-1-butene",C=C(C)C(C)(C)C,biofuel,C=C(C)C(C)(C)C,98.18899999999998,98.109550448,98.18899999999998,98.18899999999998,98.18899999999998,98.18899999999998,98.18899999999998,98.18899999999998,98.18899999999998
"2,3-dimethyl-2-butene",CC(C)=C(C)C,biofuel,CC(C)=C(C)C,84.16199999999999,84.093900384,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999
4-methyl-1-hexene,C=CCC(C)CC,biofuel,C=CCC(C)CC,98.189,98.109550448,98.189,98.189,98.189,98.189,98.189,98.189,98.189
"2,3,3-trimethyl-1-butene",C=C(C)C(C)(C)C,biofuel,C=C(C)C(C)(C)C,98.18899999999998,98.109550448,98.18899999999998,98.18899999999998,98.18899999999998,98.18899999999998,98.18899999999998,98.18899999999998,98.18899999999998
2-Methyl-1-hexene,C=CC(C)CC,biofuel,C=CC(C)CC,84.16199999999999,84.093900384,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999
2-Methyl-2-hexene,CC=C(C)CC,biofuel,CC=C(C)CC,84.16199999999999,84.093900384,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999
2-Methyl-3-hexene,CCC=C(C)C,biofuel,CCC=C(C)C,84.16199999999999,84.093900384,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999
"2,3-Dimethyl-1-pentene",CCC(C)C=C(C)C,biofuel,CCC(C)C=C(C)C,112.21599999999998,112.12520051199999,112.21599999999998,112.21599999999998,112.21599999999998,112.21599999999998,112.21599999999998,112.21599999999998,112.21599999999998
2-Methyl-2-propanol,CC(C)(C)O,biofuel,CC(C)(C)O,74.12299999999999,74.07316494,74.12299999999999,74.12299999999999,74.12299999999999,74.12299999999999,74.12299999999999,74.12299999999999,74.12299999999999
3-methyl-1-butanol,CCC(C)CO,biofuel,CCC(C)CO,88.14999999999999,88.088815004,88.14999999999999,88.14999999999999,88.14999999999999,88.14999999999999,88.14999999999999,88.14999999999999,88.14999999999999
methyl tert-butyl ether,COC(C)(C)C,biofuel,COC(C)(C)C,88.14999999999999,88.088815004,88.14999999999999,88.14999999999999,88.14999999999999,88.14999999999999,88.14999999999999,88.14999999999999,88.14999999999999
Tert-Amyl methyl ether,COCC(C)(C)C,biofuel,COCC(C)(C)C,102.17699999999999,102.104465068,102.17699999999999,102.17699999999999,102.17699999999999,102.17699999999999,102.17699999999999,102.17699999999999,102.17699999999999
tert-butyl ethyl ether,COCC(C)(C)C,biofuel,COCC(C)(C)C,102.17699999999999,102.104465068,102.17699999999999,102.17699999999999,102.17699999999999,102.17699999999999,102.17699999999999,102.17699999999999,102.17699999999999
benzene,c1ccccc1,biofuel,c1ccccc1,78.11399999999999,78.046950192,78.11399999999999,78.11399999999999,78.11399999999999,78.11399999999999,78.11399999999999,78.11399999999999,78.11399999999999
toluene,Cc1ccccc1,biofuel,Cc1ccccc1,92.14099999999999,92.062600256,92.14099999999999,92.14099999999999,92.14099999999999,92.14099999999999,92.14099999999999,92.14099999999999,92.14099999999999
styrene,C=CCc1ccccc1,biofuel,C=CCc1ccccc1,118.17899999999995,118.07825032,118.17899999999995,118.17899999999995,118.17899999999995,118.17899999999995,118.17899999999995,118.17899999999995,118.17899999999995
4-Methyl-1-Hexene,C=CCC(C)CC,biofuel,C=CCC(C)CC,98.189,98.109550448,98.189,98.189,98.189,98.189,98.189,98.189,98.189
4-Methyl-1-Pentene,C=CCC(C)C,biofuel,C=CCC(C)C,84.16199999999999,84.093900384,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999
4-Methyl-2-Pentene,CC=CC(C)C,biofuel,CC=CC(C)C,84.162,84.093900384,84.162,84.162,84.162,84.162,84.162,84.162,84.162
4-Methylheptane,CCCC(C)CCC,biofuel,CCCC(C)CCC,114.232,114.14085057599999,114.232,114.232,114.232,114.232,114.232,114.232,114.232
4-Octene,CCCC=CCCC,biofuel,CCCC=CCCC,112.216,112.12520051199999,112.216,112.216,112.216,112.216,112.216,112.216,112.216
"1,2-dimethylbenzene (o-xylene)",Cc1ccccc1C,biofuel,Cc1ccccc1C,106.16799999999999,106.07825032,106.16799999999999,106.16799999999999,106.16799999999999,106.16799999999999,106.16799999999999,106.16799999999999,106.16799999999999
"1,3-dimethylbenzene (m-Xylene)",Cc1cccc(C)c1,biofuel,Cc1cccc(C)c1,106.16799999999999,106.07825032,106.16799999999999,106.16799999999999,106.16799999999999,106.16799999999999,106.16799999999999,106.16799999999999,106.16799999999999
"1,4-dimethylbenzene (p-Xylene)",Cc1ccc(C)cc1,biofuel,Cc1ccc(C)cc1,106.16799999999999,106.07825032,106.16799999999999,106.16799999999999,106.16799999999999,106.16799999999999,106.16799999999999,106.16799999999999,106.16799999999999
ethylbenzene,CCc1ccccc1,biofuel,CCc1ccccc1,106.16799999999996,106.07825032,106.16799999999996,106.16799999999996,106.16799999999996,106.16799999999996,106.16799999999996,106.16799999999996,106.16799999999996
Indane,c1ccc2c(c1)CCC2,biofuel,c1ccc2c(c1)CCC2,118.17899999999999,118.07825032,118.17899999999999,118.17899999999999,118.17899999999999,118.17899999999999,118.17899999999999,118.17899999999999,118.17899999999999
Propenylbenzene,C=CCc1ccccc1,biofuel,C=CCc1ccccc1,118.17899999999995,118.07825032,118.17899999999995,118.17899999999995,118.17899999999995,118.17899999999995,118.17899999999995,118.17899999999995,118.17899999999995
n-propylbenzene,CCCc1ccccc1,biofuel,CCCc1ccccc1,120.19499999999995,120.093900384,120.19499999999995,120.19499999999995,120.19499999999995,120.19499999999995,120.19499999999995,120.19499999999995,120.19499999999995
"1,2,3-trimethylbenzene",Cc1cccc(C)c1C,biofuel,Cc1cccc(C)c1C,120.195,120.093900384,120.195,120.195,120.195,120.195,120.195,120.195,120.195
"1,2,4-trimethylbenzene",Cc1ccc(C)c(C)c1,biofuel,Cc1ccc(C)c(C)c1,120.195,120.093900384,120.195,120.195,120.195,120.195,120.195,120.195,120.195
"1,3,5-trimethylbenzene",Cc1cc(C)cc(C)c1,biofuel,Cc1cc(C)cc(C)c1,120.19499999999998,120.093900384,120.19499999999998,120.19499999999998,120.19499999999998,120.19499999999998,120.19499999999998,120.19499999999998,120.19499999999998
"2,4-Dimethyl-2-pentene",C=CC(C)(C)C,biofuel,C=CC(C)(C)C,84.16199999999999,84.093900384,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999
"2,2,4-Trimethylpentane",CC(C)CC(C)(C)C,biofuel,CC(C)CC(C)(C)C,114.23199999999999,114.14085057599999,114.23199999999999,114.23199999999999,114.23199999999999,114.23199999999999,114.23199999999999,114.23199999999999,114.23199999999999
3-Methyl-2-butanone,CC(=O)C(C)C,biofuel,CC(=O)C(C)C,86.134,86.07316494,86.134,86.134,86.134,86.134,86.134,86.134,86.134
"2,3,3-Trimethyl-1-Pentene",C=C(C)C(C)(C)C,biofuel,C=C(C)C(C)(C)C,98.18899999999998,98.109550448,98.18899999999998,98.18899999999998,98.18899999999998,98.18899999999998,98.18899999999998,98.18899999999998,98.18899999999998
"2,3,3-Trimethylpentane",CCC(C)(C)C(C)C,biofuel,CCC(C)(C)C(C)C,114.23199999999997,114.14085057599999,114.23199999999997,114.23199999999997,114.23199999999997,114.23199999999997,114.23199999999997,114.23199999999997,114.23199999999997
"2,3,4-Trimethyl-2-Pentene",C=CC(C)(C)C(C)C,biofuel,C=CC(C)(C)C(C)C,112.21599999999998,112.12520051199999,112.21599999999998,112.21599999999998,112.21599999999998,112.21599999999998,112.21599999999998,112.21599999999998,112.21599999999998
"2,3,4-Trimethylpentane",CCC(C)(C)C(C)C,biofuel,CCC(C)(C)C(C)C,114.23199999999997,114.14085057599999,114.23199999999997,114.23199999999997,114.23199999999997,114.23199999999997,114.23199999999997,114.23199999999997,114.23199999999997
"2,4-Dimethyl-1-Pentene",C=CCC(C)C,biofuel,C=CCC(C)C,84.16199999999999,84.093900384,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999
"2,4-Dimethyl-2-Pentene",C=CC(C)(C)C,biofuel,C=CC(C)(C)C,84.16199999999999,84.093900384,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999,84.16199999999999
